iter	Logloss
0	0.6930657778
1	0.6930119067
2	0.6929583556
3	0.6929006331
4	0.6928611428
5	0.6927777859
6	0.6927246888
7	0.6926918545
8	0.6926444543
9	0.6925889388
10	0.6925418594
11	0.6924825803
12	0.6924371134
13	0.6923787862
14	0.692322472
15	0.6922493343
16	0.6921677723
17	0.6920964776
18	0.6920349561
19	0.6919923958
20	0.6919446899
21	0.6918930712
22	0.691840252
23	0.6917905197
24	0.6917654411
25	0.6917147952
26	0.6916518076
27	0.6915880494
28	0.6915443445
29	0.6914886813
30	0.6914466475
31	0.691380391
32	0.6913194151
33	0.6912639799
34	0.6912102199
35	0.6911506361
36	0.691109159
37	0.6910470636
38	0.6910131546
39	0.6909703568
40	0.690934754
41	0.6908811194
42	0.6908441543
43	0.6907946056
44	0.6907440493
45	0.6907111923
46	0.6906629187
47	0.6906314969
48	0.6905806943
49	0.6904979348
50	0.6904582369
51	0.6904247495
52	0.6903920274
53	0.6903559674
54	0.6902878586
55	0.690259873
56	0.6902114938
57	0.6901821836
58	0.6901433093
59	0.690089791
60	0.6900361728
61	0.6900075564
62	0.6899709396
63	0.689929122
64	0.6898858644
65	0.6898342348
66	0.6897915371
67	0.6897265923
68	0.6896784346
69	0.6896375811
70	0.6895878097
71	0.6895533484
72	0.6894952684
73	0.6894414416
74	0.6894017601
75	0.6893474907
76	0.6893006179
77	0.6892488479
78	0.6891911016
79	0.6891369666
80	0.689090018
81	0.6890361432
82	0.6889971809
83	0.688948797
84	0.6889137024
85	0.6888788199
86	0.6888493048
87	0.6888132399
88	0.6887709939
89	0.68874893
90	0.6887078198
91	0.6886546215
92	0.6886175337
93	0.6885771999
94	0.688548385
95	0.6884977846
96	0.688425918
97	0.6883932208
98	0.6883529105
99	0.6882998597
100	0.6882368086
101	0.6881912561
102	0.6881353046
103	0.6881026549
104	0.6880579992
105	0.6880109808
106	0.6879649684
107	0.6879213118
108	0.6878765364
109	0.6878361117
110	0.6877907847
111	0.6877450697
112	0.6876991434
113	0.6876651281
114	0.6876375988
115	0.6875784215
116	0.687547817
117	0.6875158868
118	0.6874596367
119	0.687429837
120	0.6873751901
121	0.6873315609
122	0.6872872277
123	0.6872378992
124	0.6872015697
125	0.6871474526
126	0.687100786
127	0.6870722766
128	0.6870055306
129	0.6869607051
130	0.6869108788
131	0.6868729833
132	0.6868392823
133	0.6868054622
134	0.6867604982
135	0.6867184528
136	0.6866613256
137	0.6866195979
138	0.6865931932
139	0.6865748582
140	0.6865203267
141	0.6864709393
142	0.6864386953
143	0.6864000558
144	0.6863704421
145	0.6863343729
146	0.6862934588
147	0.6862617287
148	0.6862285993
149	0.6861787724
150	0.6861453688
151	0.6860889972
152	0.6860560695
153	0.6860245074
154	0.6859804836
155	0.6859517562
156	0.6858984374
157	0.6858570838
158	0.6858235803
159	0.6857810618
160	0.6857480598
161	0.6856908215
162	0.6856768726
163	0.6856401256
164	0.6855995061
165	0.6855283474
166	0.6855081484
167	0.6854608832
168	0.6854281331
169	0.6854001054
170	0.6853585798
171	0.685305143
172	0.6852639997
173	0.6852152945
174	0.6851613648
175	0.6851245915
176	0.6850605942
177	0.6850276731
178	0.6849710545
179	0.6849477345
180	0.6848964871
181	0.6848432731
182	0.684823739
183	0.6847994124
184	0.6847546774
185	0.6847335968
186	0.6846870988
187	0.6846450288
188	0.6845806007
189	0.6845217963
190	0.6844840395
191	0.6844386833
192	0.6843881239
193	0.6843406183
194	0.684294182
195	0.6842514823
196	0.6842117654
197	0.6841679751
198	0.6841265394
199	0.6840807598
