iter	Passed	Remaining
0	19	3935
1	39	3914
2	56	3730
3	72	3558
4	90	3528
5	116	3781
6	128	3545
7	144	3467
8	161	3423
9	181	3453
10	200	3442
11	217	3410
12	232	3337
13	248	3301
14	257	3176
15	266	3062
16	273	2942
17	282	2853
18	289	2757
19	298	2683
20	306	2616
21	315	2553
22	323	2491
23	332	2439
24	341	2393
25	350	2346
26	359	2301
27	367	2258
28	376	2220
29	385	2183
30	394	2148
31	401	2106
32	409	2073
33	426	2083
34	437	2061
35	446	2033
36	456	2012
37	466	1987
38	475	1961
39	484	1936
40	492	1908
41	500	1882
42	508	1858
43	518	1836
44	527	1815
45	536	1795
46	545	1774
47	554	1754
48	562	1733
49	570	1711
50	580	1697
51	595	1696
52	607	1685
53	618	1672
54	632	1666
55	643	1655
56	653	1638
57	661	1620
58	671	1604
59	680	1587
60	690	1573
61	703	1566
62	713	1551
63	721	1533
64	731	1518
65	741	1506
66	750	1490
67	761	1478
68	777	1475
69	788	1463
70	797	1448
71	806	1433
72	815	1418
73	825	1406
74	836	1393
75	857	1399
76	881	1408
77	898	1405
78	914	1400
79	931	1397
80	946	1390
81	961	1383
82	976	1375
83	991	1369
84	1006	1362
85	1020	1353
86	1035	1345
87	1052	1339
88	1066	1330
89	1080	1321
90	1098	1315
91	1114	1308
92	1129	1299
93	1146	1293
94	1160	1282
95	1176	1274
96	1191	1265
97	1202	1251
98	1211	1235
99	1220	1220
100	1231	1207
101	1240	1192
102	1250	1177
103	1259	1162
104	1267	1146
105	1275	1131
106	1284	1116
107	1295	1103
108	1306	1090
109	1317	1077
110	1326	1063
111	1334	1048
112	1342	1033
113	1356	1022
114	1369	1012
115	1382	1000
116	1398	992
117	1413	982
118	1430	973
119	1445	963
120	1459	953
121	1476	943
122	1493	935
123	1509	925
124	1525	915
125	1541	905
126	1558	895
127	1574	885
128	1591	876
129	1606	865
130	1622	854
131	1638	843
132	1654	833
133	1668	821
134	1684	811
135	1698	799
136	1714	788
137	1730	777
138	1746	766
139	1761	754
140	1776	743
141	1791	731
142	1808	721
143	1824	709
144	1839	697
145	1855	686
146	1873	675
147	1889	663
148	1905	652
149	1922	640
150	1938	628
151	1948	615
152	1958	601
153	1968	587
154	1977	574
155	1988	560
156	2002	548
157	2023	537
158	2039	525
159	2061	515
160	2077	503
161	2092	490
162	2108	478
163	2124	466
164	2142	454
165	2158	442
166	2173	429
167	2190	417
168	2207	404
169	2224	392
170	2239	379
171	2254	366
172	2270	354
173	2286	341
174	2312	330
175	2332	318
176	2351	305
177	2369	292
178	2386	280
179	2397	266
180	2407	252
181	2417	239
182	2428	225
183	2438	212
184	2449	198
185	2462	185
186	2472	171
187	2483	158
188	2492	145
189	2503	131
190	2514	118
191	2525	105
192	2533	91
193	2544	78
194	2560	65
195	2580	52
196	2597	39
197	2614	26
198	2629	13
199	2644	0
